Timestamp,Session_ID,Group_ID,Winning_Door,Initial_Door,Alt_Door,Final_Door,Is_Switched,Is_Win,Reading_Time_MS
28.08.2026 0:52:21,7078918c-0446-4dcc-bc79-3d52aea57a1a,Group_A,10,8,10,8,0,0,10191
28.08.2026 0:52:23,8a0adce4-df55-423f-910b-8eab0ecbd61f,Group_D,1,4,1,1,1,1,4382
28.08.2026 0:52:23,04a5f2aa-8cc8-4483-a96c-f4df69525793,Group_C,4,2,4,2,0,0,1184
28.08.2026 0:52:27,886a0cee-db9c-4887-8348-422a4a6b52b0,Group_C,8,1,8,8,1,1,6603
28.08.2026 0:52:27,a08d767a-d2af-4b5f-8bd8-728028d84c31,Group_A,3,3,6,6,1,0,1406
28.08.2026 0:52:32,ebba93fd-e45b-45ac-8989-579ceabbcf7e,Group_D,10,4,10,10,1,1,3684
28.08.2026 0:52:39,2df38ac8-95bb-4ebe-8b38-9ffc82540752,Group_B,4,4,3,3,1,0,5567
28.08.2026 0:52:44,edbac51d-d25b-4dbd-a8ea-12ec55878d41,Group_B,7,2,7,2,0,0,20563
28.08.2026 0:52:46,63ebdd11-65d4-4bc8-b36c-383bc11a6bc4,Group_A,1,4,1,1,1,1,15162
28.08.2026 0:52:50,8a6c6e21-72ea-46d3-a858-eb8eebdf51aa,Group_D,10,1,10,10,1,1,11866
28.08.2026 0:52:57,836e2715-e0c7-43e5-bc8b-496d27980677,Group_C,10,1,10,10,1,1,7001
28.08.2026 0:53:03,8847c3a6-8a4b-4a2c-908b-ec0753c41faa,Group_B,2,10,2,2,1,1,6216
28.08.2026 0:53:10,de3a531f-e940-4a5a-9104-e82ea3390bcd,Group_C,8,1,8,1,0,0,4948
28.08.2026 0:53:12,6405f57e-fcff-4023-a9b0-95b843ff10f2,Group_B,9,7,9,9,1,1,22608
28.08.2026 0:53:18,9a3a98e6-c709-43c6-b5ff-3cc0a930b926,Group_A,1,4,1,1,1,1,6254
28.08.2026 0:53:21,bc692c35-892c-4e68-9269-33fad5cda615,Group_C,7,8,7,8,0,0,1504
28.08.2026 0:53:22,ff330b08-fe73-47e7-9ec5-3b88cf5834d8,Group_C,9,5,9,9,1,1,4994
28.08.2026 0:53:25,b5e58eb7-1216-43bf-ac52-b46001e5be52,Group_A,9,1,9,9,1,1,3414
28.08.2026 0:53:25,d52f4b15-7353-489d-a1af-8403b9108ade,Group_C,9,2,9,9,1,1,3838
28.08.2026 0:53:29,08d704aa-0a37-4add-accf-9f8936f512d5,Group_C,1,7,1,7,0,0,18817
28.08.2026 0:53:53,a569e332-bdd8-44bb-bc5b-7bd257fddd79,Group_D,1,1,5,5,1,0,16861
28.08.2026 0:53:54,da35397f-4b1d-482f-af45-92eee00c5557,Group_A,2,1,2,2,1,1,5962
28.08.2026 0:54:04,4cced751-75ad-4c2e-a8fe-347852cd5d4b,Group_A,1,7,1,7,0,0,27587
28.08.2026 0:54:10,f1ee50c0-8a62-4b2c-a7ff-1530dbee3b02,Group_A,1,6,1,1,1,1,9503
